report_period,federal_district,region,административный_персонал,доля_людей_питающихся_в_столовой,доход_банка,количество_клиентов,общее_количество_людей_в_вузе,объем_транзакций,средний_тариф_банка,средняя_стоимость_обеда,студенты
Декабрь 2023,Центральный ФО,Тульская обл.,1037,47.24,82948.52,10629,22502,2746639.89,3.02,258.41,21465
Январь 2024,Центральный ФО,Тульская обл.,1280,66.4,97161.9,17069,25707,4907166.81,1.98,287.49,24427
Февраль 2024,Центральный ФО,Тульская обл.,1226,72.85,153555.6,18259,25065,5152872.39,2.98,282.21,23839
Март 2024,Центральный ФО,Тульская обл.,1210,66.98,144356.29,16696,24928,4876901.6,2.96,292.1,23718
Апрель 2024,Центральный ФО,Тульская обл.,1176,66.95,86339.14,16473,24605,4592507.67,1.88,278.79,23429
Май 2024,Центральный ФО,Тульская обл.,1173,55.74,122968.16,14417,25866,4071793.31,3.02,282.43,24693
Июнь 2024,Центральный ФО,Тульская обл.,1185,26.49,42228.91,6759,25517,2122055.64,1.99,313.96,24332
Июль 2024,Центральный ФО,Тульская обл.,1154,13.96,22837.86,3541,25368,1042824.5,2.19,294.5,24214
Август 2024,Центральный ФО,Тульская обл.,1162,17.5,33752.17,4312,24642,1192656.08,2.83,276.59,23480
Сентябрь 2024,Центральный ФО,Тульская обл.,1212,74.99,97800.04,19044,25396,5525426.16,1.77,290.14,24184
Октябрь 2024,Центральный ФО,Тульская обл.,1195,69.71,171570.61,17256,24755,5230811.28,3.28,303.13,23560
Ноябрь 2024,Центральный ФО,Тульская обл.,1181,67.67,169650.77,16916,24998,4875022.04,3.48,288.19,23817
Декабрь 2024,Центральный ФО,Тульская обл.,1234,45.49,54580.7,11295,24830,3191854.05,1.71,282.59,23596
Январь 2022,Северо-Западный ФО,г. Санкт-Петербург,4248,65.33,404353.73,47949,73396,15982360.68,2.53,333.32,69148
Февраль 2022,Северо-Западный ФО,г. Санкт-Петербург,4060,69.68,467665.31,51218,73506,18632084.04,2.51,363.78,69446
Март 2022,Северо-Западный ФО,г. Санкт-Петербург,4317,66.85,352195.06,49517,74072,16230187.09,2.17,327.77,69755
Апрель 2022,Северо-Западный ФО,г. Санкт-Петербург,4271,70.48,584287.83,52632,74677,18373831.2,3.18,349.1,70406
Март 2023,Северо-Западный ФО,г. Санкт-Петербург,4632,67.73,453378.24,55195,81494,21692738.9,2.09,393.02,76862
Май 2022,Северо-Западный ФО,г. Санкт-Петербург,4110,57.21,368825.82,41638,72781,14932219.56,2.47,358.62,68671
Июнь 2022,Северо-Западный ФО,г. Санкт-Петербург,4209,27.11,176031.46,19646,72468,7214404.12,2.44,367.22,68259
Июль 2022,Северо-Западный ФО,г. Санкт-Петербург,4060,13.05,92053.03,9766,74842,3311259.96,2.78,339.06,70782
Август 2022,Северо-Западный ФО,г. Санкт-Петербург,4107,16.48,73273.3,12172,73865,4414054.08,1.66,362.64,69758
Сентябрь 2022,Северо-Западный ФО,г. Санкт-Петербург,4109,75.49,496195.32,57041,75562,18938752.82,2.62,332.02,71453
Октябрь 2022,Северо-Западный ФО,г. Санкт-Петербург,4371,73.79,650477.34,55877,75725,20715838.98,3.14,370.74,71354
Ноябрь 2022,Северо-Западный ФО,г. Санкт-Петербург,4226,67.1,407488.3,49548,73843,16497502.08,2.47,332.96,69617
Декабрь 2022,Северо-Западный ФО,г. Санкт-Петербург,4092,47.93,359853.27,36146,75416,12806166.34,2.81,354.29,71324
Январь 2023,Северо-Западный ФО,г. Санкт-Петербург,4426,65.47,359771.49,53212,81278,19035528.76,1.89,357.73,76852
Февраль 2023,Северо-Западный ФО,г. Санкт-Петербург,4438,73.38,406133.7,58261,79397,20721107.26,1.96,355.66,74959
Апрель 2023,Северо-Западный ФО,г. Санкт-Петербург,4463,69.72,464458.47,56274,80715,22992993.66,2.02,408.59,76252
Май 2023,Северо-Западный ФО,г. Санкт-Петербург,4452,55.73,368116.63,44185,79285,17869739.55,2.06,404.43,74833
Июнь 2023,Северо-Западный ФО,г. Санкт-Петербург,4954,26.63,148539.85,22346,83913,7986013.48,1.86,357.38,78959
Июль 2023,Северо-Западный ФО,г. Санкт-Петербург,4438,12.92,68769.35,10508,81332,4245021.84,1.62,403.98,76894
Август 2023,Северо-Западный ФО,г. Санкт-Петербург,4794,17.12,126918.73,14168,82758,5355220.64,2.37,377.98,77964
Сентябрь 2023,Северо-Западный ФО,г. Санкт-Петербург,4662,70.43,590047.91,56386,80060,21073139.78,2.8,373.73,75398
Октябрь 2023,Северо-Западный ФО,г. Санкт-Петербург,4603,69.14,658793.28,57183,82707,21459064.41,3.07,375.27,78104
Ноябрь 2023,Северо-Западный ФО,г. Санкт-Петербург,4438,69.71,604314.48,55538,79671,22977736.74,2.63,413.73,75233
Декабрь 2023,Северо-Западный ФО,г. Санкт-Петербург,4449,49.15,385177.8,39217,79792,16116226.15,2.39,410.95,75343
Январь 2024,Северо-Западный ФО,г. Санкт-Петербург,4886,63.97,737449.95,56212,87873,22760800.92,3.24,404.91,82987
Февраль 2024,Северо-Западный ФО,г. Санкт-Петербург,4876,71.13,644642.76,62820,88318,25993659.6,2.48,413.78,83442
Март 2024,Северо-Западный ФО,г. Санкт-Петербург,4866,65.66,512473.58,57998,88331,25121253.72,2.04,433.14,83465
Апрель 2024,Северо-Западный ФО,г. Санкт-Петербург,4760,66.74,655961.1,57889,86739,24294855.52,2.7,419.68,81979
Май 2024,Северо-Западный ФО,г. Санкт-Петербург,4982,54.39,513017.16,48611,89376,21375715.03,2.4,439.73,84394
Июнь 2024,Северо-Западный ФО,г. Санкт-Петербург,5322,28.11,235119.1,25481,90650,10496388.33,2.24,411.93,85328
Июль 2024,Северо-Западный ФО,г. Санкт-Петербург,5198,12.82,114480.38,11758,91717,4789974.04,2.39,407.38,86519
Август 2024,Северо-Западный ФО,г. Санкт-Петербург,5084,16.01,114962.83,14214,88788,5987647.5,1.92,421.25,83704
Сентябрь 2024,Северо-Западный ФО,г. Санкт-Петербург,4689,75.29,1003893.1,65050,86400,29014251.5,3.46,446.03,81711
Октябрь 2024,Северо-Западный ФО,г. Санкт-Петербург,5055,70.86,668339.79,63034,88957,27168284.34,2.46,431.01,83902
Ноябрь 2024,Северо-Западный ФО,г. Санкт-Петербург,5011,70.51,413403.32,63857,90565,26164767.18,1.58,409.74,85554
Декабрь 2024,Северо-Западный ФО,г. Санкт-Петербург,4950,44.81,471990.54,40274,89879,16561071.54,2.85,411.21,84929
Январь 2022,Северо-Западный ФО,Мурманская обл.,163,66.06,13106.15,2255,3415,579918.35,2.26,257.17,3252
Февраль 2022,Северо-Западный ФО,Мурманская обл.,166,71.06,17011.62,2430,3420,691529.4,2.46,284.58,3254
Март 2022,Северо-Западный ФО,Мурманская обл.,166,66.85,11006.0,2311,3458,611444.38,1.8,264.58,3292
Апрель 2022,Северо-Западный ФО,Мурманская обл.,168,70.54,16002.53,2391,3390,617858.31,2.59,258.41,3222
Май 2022,Северо-Западный ФО,Мурманская обл.,166,59.38,19156.73,2034,3426,585832.68,3.27,288.02,3260
Июнь 2022,Северо-Западный ФО,Мурманская обл.,167,27.14,5570.63,934,3445,271737.96,2.05,290.94,3278
Июль 2022,Северо-Западный ФО,Мурманская обл.,152,13.82,1929.29,463,3352,118361.32,1.63,255.64,3200
Август 2022,Северо-Западный ФО,Мурманская обл.,160,16.1,5317.78,540,3357,152371.8,3.49,282.17,3197
Сентябрь 2022,Северо-Западный ФО,Мурманская обл.,155,75.26,15300.27,2525,3356,677003.0,2.26,268.12,3201
Октябрь 2022,Северо-Западный ФО,Мурманская обл.,158,75.4,20615.69,2629,3488,728469.61,2.83,277.09,3330
Ноябрь 2022,Северо-Западный ФО,Мурманская обл.,167,72.13,9612.01,2487,3449,640800.42,1.5,257.66,3282
Декабрь 2022,Северо-Западный ФО,Мурманская обл.,163,48.45,14334.11,1657,3421,449345.26,3.19,271.18,3258
